0_Bias,0_Voltage
-37.961443,-4.304706
-35.154322,-3.794942
-31.071237,-3.794942
-28.519308,-3.794942
-26.477766,-3.794942
-22.905066,-4.304706
-18.821981,-4.814470
-17.035631,-3.285178
-13.207739,-4.049824
-9.635040,-5.069353
-6.827919,-4.049824
-4.531183,-3.794942
-1.213676,-4.304706
2.869409,-5.069353
4.910951,-4.304706
8.738844,-4.559588
12.056350,-4.814470
14.608278,-4.814470
17.415400,-3.794942
20.988099,-4.304706
24.560799,-5.069353
26.857534,-4.304706
30.430233,-3.794942
34.258126,-4.559588
36.810054,-5.069353
38.851597,-4.814470
42.679489,-4.559588
46.252188,-5.069353
48.548924,-4.049824
51.356045,-3.540060
55.183937,-4.049824
59.011830,-5.069353
60.798179,-3.794942
64.626072,-4.304706
67.943578,-4.304706
70.750699,-0.991239
73.047435,1.302699
77.385713,3.596638
79.937641,7.929633
82.489569,12.007746
86.062269,15.321213
89.634968,17.615152
91.931704,22.203029
94.483632,26.026261
98.821910,29.594610
101.884224,34.182487
104.436152,39.789893
107.498466,43.868006
111.071165,47.946119
113.623093,51.514468
115.919829,56.866992
120.002914,63.493925
123.320421,67.062274
126.127542,70.630624
128.424277,73.944090
132.507362,77.002675
134.804098,80.571024
137.611219,82.610081
141.183918,85.668666
144.501425,87.452840
147.308546,90.511425
149.860474,93.570010
152.922788,95.354185
156.750680,97.138359
159.047416,101.471354
162.364922,102.745765
165.937622,105.294586
168.489550,108.608053
171.296671,111.921520
174.614178,113.960576
178.186877,116.509397
180.228420,120.332628
184.056312,123.646095
187.373819,125.940034
189.925747,128.488854
192.477675,131.802321
195.795182,135.370670
199.623074,136.899963
201.919810,140.213430
204.726931,145.056189
208.810016,146.840364
211.361944,149.134302
213.913872,152.447769
217.231379,154.231944
221.059271,156.016118
223.356007,158.819821
225.907935,161.368642
229.480635,162.897934
232.287756,165.956519
234.584491,169.015104
238.412383,170.799279
241.985083,172.838335
244.026625,175.896920
247.599325,178.445741
251.172024,180.484797
253.723953,183.543382
256.020688,186.856849
259.593388,188.895906
263.166087,191.189845
265.718015,194.503312
268.269944,197.052132
271.587450,199.600953
275.160150,201.894892
277.967271,204.953477
280.774392,208.012061
284.602284,209.286472
287.409405,212.854821
289.450948,215.403642
293.023647,217.442698
296.085961,219.991519
298.637889,222.540340
301.955396,224.834278
306.038481,227.128217
308.335217,229.677038
310.631952,232.735623
314.204652,234.774679
317.522158,237.323500
320.074086,240.636967
323.646786,242.421141
327.219485,244.205316
329.516221,247.263901
332.578535,250.832250
336.406427,252.361542
338.703162,254.655481
340.999898,257.459184
344.827790,260.008005
348.400490,262.047061
350.697225,265.105646
353.249153,268.419113
356.566660,270.203288
360.139359,271.477698
362.180902,274.536283
364.988023,277.594868
368.305530,279.379042
371.367844,281.672981
373.919772,285.496212
372.643808,286.005976
369.071108,281.672981
364.732830,279.633924
361.415324,276.320457
358.097817,273.261872
353.759539,270.203288
349.676454,267.909349
346.358947,264.341000
343.041440,260.262887
339.468741,257.968948
335.130463,255.420127
332.833728,251.851778
328.495450,248.793193
324.412364,246.499255
321.350051,242.930906
318.287737,240.382085
314.459844,237.068618
310.121566,234.774679
307.059253,231.461212
304.507324,228.402627
300.679432,225.853807
296.596347,223.559868
293.278840,220.246401
289.961333,217.442698
286.133441,215.403642
283.326320,212.090175
280.519199,208.521826
275.925728,206.227887
272.353029,203.424184
269.545908,200.365599
266.483594,196.797250
262.655701,194.503312
259.338195,191.954491
256.531074,187.621496
252.703181,185.327557
248.875289,183.033618
