0_Bias,0_Voltage
-431.213582,-342.788101
-428.916846,-340.239280
-424.833761,-337.945341
-421.516254,-335.651403
-419.219519,-332.337936
-415.391627,-330.043997
-411.053349,-328.004940
-409.522192,-324.946356
-406.204685,-321.632889
-401.866407,-319.593832
-398.804093,-316.790129
-396.252165,-313.986426
-392.679465,-311.947370
-389.106766,-309.653431
-386.044452,-306.594846
-384.002909,-303.281379
-379.409439,-301.242323
-376.857510,-299.203266
-374.050389,-296.654445
-370.732883,-293.595860
-366.904990,-291.556804
-364.097869,-288.243337
-361.801134,-285.184752
-358.228434,-283.145695
-354.910928,-281.361521
-352.359000,-277.538290
-348.275914,-275.244351
-344.958408,-273.460177
-342.406479,-270.401592
-340.109744,-267.088125
-336.026659,-265.558832
-332.198767,-263.010012
-330.667610,-260.461191
-326.839717,-257.912370
-323.011825,-255.618431
-320.715090,-252.559847
-318.418354,-249.501262
-314.845655,-247.717087
-310.762570,-244.658502
-308.976220,-241.345035
-304.893135,-239.560861
-302.086014,-237.266922
-299.023700,-233.953455
-296.471772,-230.385106
-292.388686,-229.365578
-289.581565,-227.071639
-287.029637,-223.503290
-284.222516,-220.954469
-280.394624,-218.660531
-277.842696,-216.111710
-274.780382,-213.562889
-271.207682,-211.523833
-268.655754,-208.975012
-265.593440,-205.916427
-262.531126,-202.857842
-258.958427,-201.328550
-256.661691,-198.779729
-253.854570,-195.466262
-250.026678,-193.172323
-246.709171,-191.133267
-244.667629,-187.819800
-241.605315,-184.251451
-237.522230,-182.212394
-234.970301,-180.428220
-232.673566,-176.604988
-229.100867,-174.311050
-225.017781,-172.271993
-223.231432,-168.448762
-219.658732,-166.664588
-216.341225,-165.135295
-213.534104,-162.331592
-211.237369,-159.273007
-207.664669,-157.743715
-204.091970,-155.704658
-201.284849,-152.900956
-198.477728,-150.607017
-194.649836,-149.077724
-192.608293,-144.744729
-189.801172,-140.921498
-186.228472,-138.627559
-183.166159,-136.333621
-180.103845,-133.275036
-177.296724,-129.451805
-173.724024,-127.157866
-171.172096,-123.334635
-168.620168,-120.021168
-165.047468,-117.472347
-161.729962,-115.178409
-159.688419,-111.610060
-155.860527,-108.296593
-152.543020,-106.512418
-149.991092,-103.453833
-147.439163,-100.140366
-143.611271,-98.356192
-140.293764,-97.336663
-137.741836,-94.532961
-134.934715,-92.748786
-130.851630,-90.964611
-129.065280,-88.415791
-126.002966,-84.847442
-122.685460,-84.337678
-119.112760,-82.298621
-116.816025,-77.710744
-113.753711,-71.848456
-110.691397,-67.005697
-108.139469,-60.633645
-106.097926,-55.026239
-108.649855,-56.810414
-111.712168,-64.201994
-116.560832,-71.338692
-120.388724,-77.455862
-123.195845,-82.553503
-127.534123,-86.121852
-131.872401,-87.396262
-134.934715,-90.454847
-137.486643,-93.258550
-141.824921,-95.042725
-146.163199,-96.826899
-148.204742,-100.140366
-152.032634,-103.453833
-156.370912,-105.747772
-159.433226,-109.571003
-162.750733,-113.394234
-166.578625,-116.197937
-170.406517,-118.746758
-173.468831,-122.569989
-176.020760,-126.393220
-180.103845,-129.706687
-183.931737,-133.529918
-186.483665,-138.372677
-190.566750,-141.686144
-194.649836,-144.234965
-197.456957,-148.058196
-200.264078,-150.861899
-204.857548,-153.155838
-207.919862,-155.449776
-210.726983,-157.998597
-214.554876,-160.037654
-218.637961,-162.331592
-221.189889,-165.645059
-223.741817,-168.703644
-228.080095,-170.997583
