0_Bias,0_Voltage
395.100776,301.298901
397.907897,304.867250
401.735789,306.396542
404.798103,309.200245
406.839646,312.258830
411.688310,314.043004
414.240238,316.336943
416.536973,320.160174
419.599287,322.454113
423.937565,324.748051
426.489493,326.532226
429.296614,330.355457
433.124507,332.394514
435.931628,334.688452
438.738749,337.237273
442.311448,340.550740
446.139340,341.825150
448.436076,344.628853
450.988004,348.197202
455.581475,350.236259
458.643789,352.020433
460.430139,355.079018
464.002838,357.882721
468.085923,359.666896
470.382659,362.980363
472.934587,365.529183
477.017672,367.568240
480.590371,369.862179
482.631914,372.410999
486.204614,374.959820
489.777313,376.998877
492.584434,380.567226
494.881169,383.370928
498.453869,385.409985
502.026569,387.703924
505.088882,389.997862
508.151196,393.311329
511.723896,395.860150
512.489474,396.879678
512.489474,398.918735
513.765438,398.408971
514.531017,398.154089
514.531017,399.173617
514.786210,400.193145
516.062174,400.448027
516.572559,400.193145
517.082945,400.957792
517.593331,402.232202
518.614102,401.722438
518.358909,402.487084
518.614102,403.506612
519.634873,403.506612
521.166030,403.761494
521.166030,404.271259
521.931609,405.290787
522.952380,404.526141
522.697187,405.800551
522.697187,406.820079
523.973151,407.074961
525.249115,406.820079
525.504308,407.584726
524.993922,408.859136
526.780272,408.094490
526.525079,409.368900
526.269887,410.133546
528.056236,409.878664
528.821815,409.623782
528.566622,410.898193
529.587393,411.662839
529.587393,411.662839
530.608165,411.407957
530.608165,412.937249
531.884129,412.937249
532.394514,412.682367
532.649707,413.701895
532.649707,414.976306
533.160093,414.466542
533.925671,414.211659
533.670478,415.486070
534.180864,415.740952
535.201635,415.486070
533.925671,415.231188
534.436057,415.995834
535.712021,415.486070
535.201635,415.740952
534.946443,416.505598
534.946443,416.250716
535.967214,415.740952
535.456828,415.995834
534.946443,416.760480
535.456828,416.250716
536.222407,415.486070
535.456828,415.740952
535.201635,416.760480
536.222407,415.995834
535.712021,416.250716
534.691250,415.995834
535.967214,415.995834
535.456828,416.505598
534.691250,417.015362
535.456828,415.995834
535.967214,415.486070
535.456828,416.250716
534.946443,416.505598
535.712021,416.250716
535.456828,415.486070
534.691250,415.995834
535.456828,416.250716
535.967214,415.740952
535.201635,416.250716
534.946443,417.015362
535.712021,415.995834
535.967214,415.995834
534.946443,416.250716
535.456828,416.760480
535.967214,415.740952
535.201635,416.250716
534.691250,416.760480
535.712021,416.505598
535.967214,415.995834
535.712021,416.505598
535.712021,416.760480
536.222407,415.486070
535.456828,416.250716
534.691250,416.250716
535.712021,416.250716
536.222407,415.740952
535.456828,417.015362
535.456828,416.250716
536.222407,416.250716
535.201635,415.995834
534.946443,417.015362
535.201635,416.505598
536.222407,415.995834
535.456828,416.505598
534.691250,416.760480
535.201635,416.250716
535.967214,415.740952
535.456828,416.250716
535.201635,417.015362
535.712021,415.740952
535.201635,416.250716
534.691250,416.760480
535.456828,416.250716
535.201635,415.995834
534.946443,417.270244
535.712021,416.760480
535.712021,415.740952
534.691250,416.250716
534.691250,416.760480
535.201635,416.505598
535.967214,415.740952
535.456828,415.995834
535.712021,416.505598
536.477599,415.995834
535.456828,416.250716
534.946443,416.505598
535.456828,416.250716
535.967214,415.231188
534.691250,417.015362
535.456828,416.250716
536.222407,415.486070
535.456828,416.250716
534.691250,416.505598
535.712021,416.505598
535.712021,415.486070
534.691250,416.505598
534.691250,417.015362
535.712021,416.250716
535.712021,416.250716
534.946443,416.505598
535.456828,416.250716
536.222407,415.995834
535.712021,415.995834
534.946443,417.015362
535.712021,415.995834
535.456828,416.250716
534.946443,416.505598
536.222407,415.995834
535.201635,415.486070
535.201635,416.505598
534.691250,417.015362
536.222407,416.505598
535.456828,415.995834
535.201635,416.250716
535.456828,416.250716
536.222407,415.486070
535.712021,416.250716
534.691250,416.760480
536.222407,416.250716
535.456828,416.250716
534.691250,416.760480
535.456828,416.250716
535.456828,415.486070
534.691250,417.015362
535.712021,416.760480
535.967214,415.486070
535.456828,416.250716
534.946443,417.015362
535.201635,416.250716
535.967214,415.486070
535.712021,416.250716
534.946443,416.760480
536.222407,415.995834
535.456828,414.976306
534.946443,416.760480
535.456828,416.250716
535.967214,415.995834
535.712021,416.250716
535.201635,416.760480
535.201635,416.250716
536.222407,415.740952
534.946443,416.250716
535.712021,416.505598
536.222407,415.740952
535.456828,416.250716
535.712021,416.505598
535.712021,415.995834
535.201635,416.250716
534.436057,416.505598
535.201635,415.995834
535.712021,415.740952
535.201635,416.250716
535.201635,416.505598
535.712021,415.995834
534.691250,415.486070
534.180864,416.250716
534.436057,415.486070
534.691250,414.721424
533.670478,415.740952
533.415286,415.231188
533.160093,414.211659
532.139322,413.701895
531.118550,414.211659
531.628936,413.192131
531.118550,412.172603
529.587393,411.917721
529.077008,412.172603
528.821815,411.153075
528.821815,409.623782
527.545851,410.133546
527.035465,410.133546
527.290658,408.859136
526.014694,409.114018
524.483537,408.859136
524.483537,407.839608
524.483537,406.565197
523.207573,406.310315
521.931609,406.565197
522.441994,405.800551
521.166030,405.290787
520.145259,405.035905
520.145259,404.271259
519.379680,402.487084
518.103716,402.996848
518.103716,402.487084
518.103716,401.467556
516.572559,401.722438
515.296595,401.467556
516.062174,399.683381
514.786210,399.173617
513.510246,399.683381
513.765438,398.663853
513.255053,397.899207
512.234281,397.644325
507.896003,396.879678
505.344075,393.056447
502.026569,389.488098
497.688291,387.449042
493.350013,384.390457
490.798084,381.586754
486.714999,378.528169
482.631914,375.979348
479.314407,372.665881
475.996901,369.097532
471.913816,367.058476
468.851502,363.745009
466.299573,360.431542
461.706103,358.137603
457.878210,355.588782
454.815896,352.530198
451.243197,348.961848
447.160112,347.687438
444.097798,343.609325
441.035484,340.805622
437.462785,338.001919
433.634892,336.217745
430.827771,333.159160
428.020650,329.335929
423.682372,327.551754
420.109673,325.767580
417.302552,321.944349
413.985045,318.630882
409.901960,317.356471
407.094839,313.788122
404.287718,310.219773
400.459825,308.435599
396.376740,306.141660
393.824812,303.337957
390.507305,299.769608
386.934606,297.985434
383.872292,294.671967
381.320364,291.103618
376.982086,289.319443
373.919772,286.770622
371.112651,283.457155
367.539951,281.418099
363.712059,279.379042
360.904938,275.810693
358.353010,273.006990
354.525117,270.967934
350.952418,268.419113
348.655682,265.615410
344.827790,262.811707
340.744705,260.517769
338.447970,257.459184
335.640849,254.910363
331.557763,252.361542
328.750642,249.302957
326.453907,246.244373
322.370822,243.950434
318.287737,241.656495
315.991001,238.597910
313.183880,235.029561
309.611181,232.990505
305.783288,231.206330
303.486553,228.147745
300.424239,224.579396
296.341154,222.795222
293.789226,220.756165
291.237298,217.442698
287.409405,215.403642
283.581513,213.364585
281.029585,210.306000
277.967271,206.992533
273.884186,204.953477
271.332257,202.149774
268.780329,198.581425
265.207630,196.287486
261.379737,194.248429
259.593388,190.425198
256.020688,187.876378
252.192796,185.837321
249.385675,182.523854
246.578554,179.465269
243.005854,177.171331
239.433155,175.132274
237.136419,172.073689
233.563720,169.524868
229.991020,167.485812
227.439092,163.917463
224.631971,161.368642
221.059271,159.839349
217.741765,157.800293
215.189837,154.486826
211.617137,152.192887
208.554823,150.153831
204.726931,147.605010
202.685388,144.546425
198.857496,141.487840
195.284796,138.429255
193.243254,134.351142
190.436133,131.292557
185.842662,128.488854
183.035541,125.175387
180.738806,121.607038
177.166106,119.058218
173.593407,116.509397
171.296671,113.195930
167.723972,110.392227
163.640887,108.353170
160.833766,104.275057
158.792223,101.726237
155.219523,99.432298
151.391631,97.138359
148.584510,93.824892
146.287775,91.530954
141.694304,89.491897
139.142376,86.178430
136.335255,83.374727
132.507362,81.080789
128.934663,78.531968
126.637927,73.689208
123.830806,68.336685
119.492528,64.513454
116.940600,59.670694
114.388672,54.827935
110.815972,51.259586
106.732887,48.965647
104.180959,44.122888
101.118645,38.260600
97.290753,34.437369
94.228439,29.594610
91.931704,25.006732
92.697282,21.948147
96.014789,27.810435
100.608260,32.908077
104.946537,38.515482
108.008851,44.632652
111.581551,49.985176
115.919829,53.043760
118.982143,58.141402
121.789264,63.748808
125.872349,68.336685
130.210627,72.924562
132.762555,78.786850
137.100833,82.355199
140.673533,83.884491
143.735846,87.197958
146.542967,91.530954
150.626053,93.060246
155.219523,95.099303
157.261066,99.432298
161.344151,101.981119
165.427236,104.275057
168.234357,107.588524
171.296671,111.921520
175.634949,114.470340
179.462842,117.528925
181.504384,120.842392
185.332276,123.900977
189.415362,126.704680
192.222483,130.527911
194.774411,134.860906
198.857496,137.919491
202.940581,140.978076
205.237317,145.056189
209.065209,147.350128
212.893101,149.898949
215.700222,152.957533
218.507343,156.016118
222.335236,158.310057
225.907935,160.094232
228.459863,163.917463
232.542948,165.446755
236.115648,167.995576
238.922769,171.563925
242.240276,174.112746
245.812975,176.916448
248.875289,178.700623
251.427217,183.033618
255.510302,185.582439
259.083002,187.876378
262.145316,190.934963
264.952437,194.503312
268.269944,197.052132
272.608222,199.855835
275.160150,202.914420
278.222464,206.227887
282.560742,208.266944
285.112670,211.070646
287.664598,214.384113
291.747683,216.168288
295.320383,218.207344
298.127504,221.520811
300.934625,224.579396
305.272903,226.618453
308.080024,229.167274
310.376759,232.735623
313.949459,234.264915
318.032544,236.813736
320.584472,239.617439
323.391593,243.185788
327.219485,245.479726
330.281799,247.773665
332.578535,251.087132
336.661620,253.126189
340.744705,255.165245
343.041440,258.733594
345.593369,262.047061
349.931647,264.341000
352.738768,266.380056
355.545889,269.438641
359.118588,271.987462
362.691288,274.536283
364.988023,277.085104
368.560723,279.888806
372.133422,281.418099
375.195736,284.731566
378.002857,287.535269
381.575557,289.829207
384.382678,292.887792
387.189799,295.436613
390.762498,297.985434
394.335198,300.024490
396.887126,302.573311
399.694247,306.141660
403.011754,307.925835
407.094839,310.219773
409.646767,313.533240
413.219466,316.591825
416.281780,317.866235
419.088901,320.669938
