0_Bias,0_Voltage
-121.919881,-74.397277
-123.706231,-74.907041
-124.216617,-76.436333
-124.982195,-77.710744
-126.513352,-78.730272
-127.278931,-79.240036
-127.789316,-81.024211
-129.320473,-81.024211
-131.362016,-81.533975
-131.872401,-83.827913
-132.893173,-85.102324
-134.169137,-85.866970
-134.679522,-87.396262
-135.445101,-89.180437
-135.700294,-89.435319
-134.424330,-87.141380
-133.148365,-86.376734
-131.106823,-85.357206
-130.341244,-83.573031
-129.065280,-81.024211
-127.023738,-81.024211
-126.768545,-79.749800
-126.258159,-78.220508
-124.216617,-76.946097
-122.685460,-76.946097
-122.430267,-74.907041
-120.643917,-73.632630
-119.623146,-73.377748
-117.836796,-72.613102
-117.581603,-70.319163
-115.540061,-70.064281
-114.008904,-69.299635
-113.243325,-67.770343
-112.732940,-65.221522
-110.691397,-64.201994
-109.670626,-63.437347
-109.160240,-60.888527
-107.373890,-59.614116
-105.587541,-58.084824
-105.842733,-55.536003
-103.801191,-53.496947
-102.270034,-52.477418
-101.759648,-49.928598
-100.738877,-47.124895
-99.207720,-45.850484
-97.421370,-44.066310
-96.910985,-41.772371
-95.635021,-39.478433
-94.103864,-38.713786
-93.593478,-36.419848
-93.083092,-34.380791
-91.296743,-32.851499
-89.510393,-31.577088
-89.000007,-29.538032
-87.979236,-27.753857
-86.192886,-27.498975
-85.427308,-24.695272
-85.172115,-22.401334
-82.875380,-21.381805
-81.599415,-19.852513
-80.833837,-17.813456
-80.578644,-15.264635
-79.047487,-14.499989
-77.516330,-13.225579
-77.261137,-10.166994
-75.729980,-9.912112
-73.688438,-9.147466
-73.433245,-7.363291
-72.667667,-6.598645
-70.881317,-5.833999
-69.860546,-6.343763
-69.605353,-5.324235
-67.819003,-5.069353
-66.032653,-5.579117
-65.522268,-4.814470
-65.267075,-3.794942
-63.480725,-4.814470
-62.715147,-5.324235
-61.694375,-3.794942
-59.908026,-4.559588
-58.632061,-5.069353
-57.611290,-4.304706
-57.611290,-4.559588
-55.314555,-5.069353
-54.804169,-4.814470
-54.038591,-4.304706
-52.762627,-4.559588
-50.721084,-4.814470
-50.721084,-4.814470
-49.445120,-4.049824
-47.658770,-4.304706
-47.148384,-4.814470
-46.637999,-4.049824
-45.106842,-4.559588
-43.575685,-5.324235
-43.320492,-4.559588
-42.299721,-4.814470
-40.258178,-5.324235
-39.492600,-4.814470
-39.237407,-3.794942
-37.451057,-4.814470
-35.919900,-5.069353
-35.154322,-4.304706
-34.133551,-3.794942
-33.112779,-4.559588
-31.581622,-4.814470
-31.836815,-4.814470
-29.795273,-4.559588
-28.264116,-5.324235
-27.753730,-4.049824
-27.243344,-4.304706
-24.946609,-4.814470
-24.436223,-4.304706
-24.181030,-4.049824
-22.649874,-4.559588
-20.863524,-5.069353
