0_Bias,0_Voltage
-118.347182,-76.946097
-118.857567,-79.494918
-121.154303,-80.514446
-121.664688,-81.533975
-122.175074,-83.573031
-123.451038,-83.573031
-125.492581,-83.827913
-125.237388,-85.357206
-126.513352,-85.866970
-128.044509,-86.376734
-129.320473,-87.396262
-129.320473,-88.925555
-131.362016,-88.670673
-132.637980,-89.180437
-133.403558,-90.454847
-134.169137,-91.729258
-135.445101,-91.729258
-136.721065,-91.984140
-134.424330,-91.729258
-133.148365,-91.474376
-132.893173,-89.180437
-130.851630,-89.435319
-129.065280,-89.180437
-128.299702,-87.651145
-127.278931,-85.866970
-125.237388,-86.631616
-124.727002,-85.357206
-123.706231,-83.318149
-122.175074,-83.063267
-120.133532,-81.788857
-119.623146,-80.769329
-118.857567,-77.965626
-117.326410,-76.436333
-115.540061,-75.161923
-114.774482,-72.613102
-113.753711,-69.809399
-111.967361,-68.280107
-111.456976,-64.966640
-110.691397,-62.672701
-108.394662,-60.888527
-107.373890,-58.594588
-107.373890,-56.045767
-105.332348,-54.771357
-103.801191,-52.987182
-103.290805,-50.948126
-102.270034,-47.889541
-100.228491,-47.124895
-99.718106,-45.340720
-99.207720,-42.027253
-97.421370,-40.752843
-95.635021,-39.478433
-95.124635,-36.929612
-94.359056,-34.380791
-92.572707,-32.851499
-91.807128,-31.577088
-91.041550,-28.518503
-89.510393,-27.498975
-87.468850,-26.224565
-87.213657,-23.930626
-86.703272,-22.146451
-84.916922,-20.872041
-83.640958,-20.107395
-82.875380,-18.323220
-81.599415,-17.303692
-79.813066,-16.793928
-79.047487,-15.264635
-78.792294,-13.990225
-77.516330,-13.735343
-75.729980,-13.990225
-74.709209,-12.970697
-74.454016,-11.696286
-72.922859,-11.441404
-70.626124,-11.951169
-70.370931,-10.421876
-69.605353,-9.657230
-67.563810,-9.912112
-67.308617,-9.147466
-66.798232,-8.382819
-64.501496,-8.127937
-63.735918,-7.618173
-63.480725,-6.853527
-61.694375,-6.598645
-60.163218,-6.598645
-59.397640,-5.833999
-58.887254,-4.814470
-57.356097,-5.324235
-56.080133,-5.069353
-55.059362,-4.814470
-54.548976,-4.049824
-52.252241,-4.814470
-51.741855,-4.304706
-51.231470,-3.794942
-49.445120,-5.069353
-48.169156,-5.324235
-48.169156,-4.814470
-47.148384,-4.304706
-45.106842,-4.559588
-43.320492,-4.814470
-43.830878,-4.559588
