0_Bias,0_Voltage
-3.510412,-190.878385
-3.000026,-183.486804
-3.765605,-175.585460
-3.000026,-167.174352
-2.234448,-161.057182
-2.744833,-153.155838
-3.000026,-143.980083
-1.724062,-138.627559
-1.979255,-129.451805
-2.744833,-120.530932
-1.724062,-114.158880
-0.958484,-107.277064
-1.468869,-98.865956
-1.724062,-90.454847
-1.213676,-83.827913
-0.703291,-76.181451
-1.213676,-68.280107
-0.703291,-60.888527
0.317480,-54.516475
-0.703291,-45.085838
-0.192905,-37.694258
1.083059,-31.067324
0.572673,-22.656216
0.317480,-14.499989
0.572673,-7.108409
1.848637,-0.226593
1.338252,7.929633
1.083059,16.595624
2.103830,22.967676
1.848637,30.869020
1.338252,38.770364
1.848637,45.907062
2.869409,53.553525
2.869409,61.454869
2.614216,69.865977
3.634987,76.238029
2.869409,83.884491
2.614216,91.785836
3.379794,98.157888
3.379794,106.568996
3.124602,114.980104
3.890180,122.371685
4.655758,129.253501
3.890180,136.899963
4.145373,144.801307
4.910951,152.192887
4.400566,159.839349
4.400566,167.995576
5.166144,175.387156
5.931723,182.268972
5.676530,190.680080
4.910951,198.581425
5.931723,205.208359
5.931723,212.854821
5.676530,222.030576
6.442108,227.892863
7.207687,235.284443
6.442108,243.185788
6.697301,251.596896
7.718072,258.733594
7.462879,265.360528
6.697301,274.026519
7.462879,280.653453
8.228458,287.790151
7.973265,296.201259
8.228458,304.102603
8.738844,310.729537
8.483651,318.376000
7.973265,326.532226
8.738844,333.668924
9.249229,341.060504
8.483651,348.961848
9.249229,355.588782
10.270001,362.215716
8.994036,370.881707
10.014808,378.273287
10.780386,385.664867
10.270001,393.311329
10.270001,401.212674
10.525193,408.094490
10.780386,415.740952
10.525193,423.387414
11.035579,430.269230
12.056350,437.660810
11.290772,444.797508
11.035579,453.208617
12.566736,460.090433
12.056350,467.227131
12.056350,475.638239
12.566736,482.774937
12.821929,489.146989
12.821929,497.558098
13.077122,504.949678
13.587507,511.576612
13.332314,519.477956
12.821929,527.379300
13.587507,534.006234
14.353086,541.397814
13.587507,549.044277
14.353086,556.690739
14.608278,563.572555
14.353086,570.964135
14.097893,578.610597
14.863471,586.766824
15.118664,593.393758
14.608278,600.785338
15.118664,608.176918
15.629050,615.568498
15.884243,621.940550
15.373857,631.371187
15.884243,637.743239
16.905014,644.370172
15.629050,652.781281
16.649821,659.663097
17.415400,666.544913
16.905014,674.701139
17.160207,683.112248
17.925785,689.994064
17.670592,697.385644
17.160207,704.777224
17.925785,712.168804
18.946556,718.285974
18.436171,726.951964
18.180978,734.853309
19.201749,741.735125
18.946556,748.616941
18.436171,757.282931
19.201749,763.400101
19.712135,770.791681
18.946556,778.693026
19.967328,786.594370
20.732906,792.711540
20.222521,801.377530
19.712135,808.769110
20.988099,815.650926
20.988099,822.277860
19.967328,831.198733
21.243292,837.570785
21.753678,844.452601
21.243292,852.099063
20.732906,860.510171
21.753678,867.137105
22.519256,874.018921
21.243292,881.155619
22.264063,889.311846
22.774449,894.409487
22.519256,903.075478
22.008870,911.231704
22.774449,918.113520
22.519256,914.290289
21.753678,905.879181
22.264063,896.448544
22.774449,885.743497
20.988099,877.842152
21.753678,868.921280
21.753678,859.235761
20.988099,850.314888
20.732906,841.648898
20.988099,832.982907
20.477713,823.807153
20.477713,815.396044
19.967328,808.004464
20.222521,797.299417
19.967328,789.143191
19.201749,780.222318
19.201749,770.791681
19.712135,762.635455
18.436171,754.479228
18.436171,745.048592
19.201749,737.147247
18.436171,728.991021
17.415400,720.325031
18.436171,711.404158
17.415400,702.483285
16.905014,695.091705
17.415400,686.425715
17.670592,677.249960
15.884243,668.838852
16.139435,660.937507
16.649821,651.761753
15.884243,644.115290
15.629050,635.959064
16.139435,627.802838
15.118664,618.372201
14.863471,611.490385
15.118664,602.314630
15.373857,594.158404
14.608278,585.492413
14.097893,578.100833
14.863471,569.179961
14.608278,561.023734
13.842700,552.867508
13.587507,544.201517
