0_Internal Flux,0_Voltage
151.176252,9.713808
157.042885,7.164987
162.654446,5.125930
169.541362,4.616166
175.663066,2.577110
181.274627,1.812463
187.906472,2.067346
194.793388,4.106402
200.404950,4.871048
206.271582,6.400341
213.668640,8.184515
219.280202,9.713808
225.401905,9.713808
231.013467,11.243100
237.900383,10.478454
244.022086,8.694279
249.633648,8.439397
256.520564,6.910105
263.152409,4.106402
268.253829,2.067346
274.885674,2.067346
282.282732,3.086874
287.894293,2.831992
293.250784,4.106402
300.137700,6.400341
306.769545,7.419869
312.381107,8.439397
318.247739,9.458926
325.134655,11.243100
331.001288,10.733336
336.612849,9.458926
343.244694,9.458926
349.876540,7.164987
355.743172,5.635695
361.609804,4.106402
367.731508,3.341756
373.853211,2.322228
379.464772,1.812463
386.096618,3.341756
392.473392,4.361284
398.595095,5.380813
403.951586,7.929633
410.583431,9.968690
417.470347,9.458926
422.826838,10.478454
429.203612,10.733336
435.835457,9.968690
441.191948,7.419869
447.058580,6.655223
453.690425,5.380813
459.557058,3.596638
465.168619,2.322228
471.800465,3.086874
478.687381,2.322228
484.298942,3.086874
490.165575,5.380813
496.797420,7.164987
503.174194,7.419869
508.530685,9.458926
514.397317,10.988218
521.284233,10.733336
526.895795,9.968690
533.017498,9.458926
539.649343,8.439397
545.260905,6.655223
550.617395,4.361284
557.249240,3.851520
563.881086,2.322228
569.492647,1.047817
575.614350,2.577110
581.736054,4.616166
587.857757,5.380813
593.214247,6.655223
600.101164,8.694279
606.477938,9.713808
612.089499,9.968690
617.445990,11.243100
624.332906,10.478454
631.219822,9.204044
636.066171,7.164987
641.932803,6.400341
649.329861,4.361284
654.686352,2.577110
660.297913,2.067346
666.674687,2.831992
673.051462,2.831992
678.663023,3.596638
685.039797,5.890577
691.926714,8.184515
697.538275,8.184515
702.894766,10.223572
709.526611,11.243100
716.413527,10.223572
722.025088,9.968690
727.636650,9.458926
734.778637,7.674751
740.135128,5.125930
745.491618,4.106402
752.378534,3.341756
759.010379,2.577110
764.366870,2.322228
770.743644,3.341756
777.120419,4.871048
782.731980,6.400341
788.088470,7.419869
795.230458,9.458926
801.352161,9.968690
806.963722,9.968690
812.320213,10.988218
819.462200,10.223572
824.818690,8.439397
829.920110,7.419869
836.807026,6.400341
842.673658,4.361284
845.989581,2.322228
838.592523,3.341756
831.450536,6.400341
823.543335,6.910105
815.381064,9.204044
809.004290,10.988218
801.097090,10.733336
793.955103,9.204044
786.047903,8.694279
779.416057,7.419869
772.018999,4.871048
764.366870,3.341756
757.735025,2.577110
751.358250,2.322228
743.195979,3.086874
736.564134,5.125930
730.187360,7.929633
722.535230,9.458926
714.883101,9.968690
708.506327,10.733336
701.364340,10.478454
693.967281,8.694279
687.590507,7.674751
681.213733,6.400341
673.816675,4.616166
666.419616,2.831992
660.042842,2.577110
653.155926,2.322228
645.758868,2.831992
639.127022,5.125930
632.750248,7.419869
625.863332,8.184515
618.466274,10.223572
612.344570,10.733336
606.222867,10.223572
598.825809,8.694279
591.428751,7.929633
585.051976,6.400341
578.420131,4.106402
571.278144,3.341756
565.156440,2.577110
559.034737,2.577110
551.127537,2.831992
545.005834,4.871048
538.884130,7.164987
531.487072,8.439397
524.345085,9.458926
518.478452,11.243100
511.846607,10.478454
505.214762,9.204044
498.327846,8.439397
492.461213,7.674751
485.319226,5.125930
478.177239,3.851520
471.800465,3.086874
466.188903,2.067346
458.281703,2.067346
452.415071,3.851520
446.293367,6.655223
439.151380,7.419869
432.264464,9.204044
426.142760,10.478454
420.531199,10.478454
413.389212,9.713808
406.247225,9.458926
400.380592,7.674751
393.748747,5.890577
387.116902,4.361284
380.740127,3.341756
374.873495,2.322228
367.476437,1.812463
360.844592,2.831992
354.977959,5.125930
348.346114,6.145459
341.204127,7.929633
335.592565,9.713808
329.725933,10.223572
322.073804,9.713808
316.462242,10.223572
309.830397,8.949162
303.963765,7.164987
296.311635,6.145459
290.445003,4.871048
284.833442,2.322228
277.691455,2.067346
270.549467,2.577110
264.682835,3.341756
258.816203,3.851520
251.164073,5.890577
245.297441,8.439397
239.685880,9.204044
232.543892,9.713808
225.401905,10.988218
219.790344,10.223572
213.923711,8.439397
206.526653,7.674751
200.660021,6.655223
194.793388,4.616166
187.906472,3.086874
180.764485,2.322228
175.152924,2.322228
169.286291,2.322228
161.634162,4.106402
155.767530,6.400341
150.155968,7.674751
143.013981,8.694279
136.127065,10.223572
130.770574,11.243100
123.883658,10.223572
116.996742,8.439397
111.130110,8.439397
105.518548,6.400341
98.376561,3.851520
91.999787,3.341756
86.133154,3.341756
79.246238,2.067346
72.104251,2.322228
66.747760,4.616166
60.626057,5.635695
53.484070,7.164987
46.597153,9.458926
41.240663,10.478454
34.353747,10.478454
27.211760,9.713808
21.855269,9.204044
14.968353,8.184515
8.591579,5.890577
2.469875,5.125930
-3.906899,3.596638
-10.028602,2.067346
-16.915519,1.812463
-23.292293,3.086874
-29.158925,3.596638
-36.300913,5.125930
-42.932758,7.419869
-48.799390,9.458926
-54.666023,9.204044
-61.552939,10.478454
-68.439855,10.478454
-73.541275,9.204044
-80.683262,7.164987
-87.315107,7.164987
-92.926668,5.125930
-99.558514,3.341756
-106.700501,1.557581
-112.312062,2.322228
-118.178695,2.577110
-125.320682,3.341756
-131.952527,5.890577
-137.309018,8.184515
