0_Internal Flux,0_Voltage
-43.697971,8.694279
-50.584887,9.458926
-57.471803,9.713808
-63.338436,10.988218
-69.715210,10.223572
-76.091984,8.184515
-82.213688,7.674751
-88.080320,6.400341
-95.222307,4.361284
-102.109223,2.322228
-107.720785,2.577110
-113.587417,2.067346
-120.474333,2.322228
-127.361250,4.106402
-132.717740,6.655223
-139.604656,8.439397
-146.491573,8.949162
-152.868347,10.733336
-157.969766,10.478454
-164.856683,9.458926
-171.743599,9.968690
-177.610231,8.184515
-183.221793,5.890577
-189.853638,4.361284
-196.995625,3.851520
-202.097045,2.067346
-209.239032,1.557581
-215.870877,2.831992
-221.737510,4.361284
-227.349071,5.380813
-234.235987,7.419869
-241.377974,9.458926
-246.989536,9.458926
-253.366310,9.458926
-259.998155,10.223572
-266.119859,10.223572
-272.241562,8.439397
-279.128478,6.145459
-285.250182,4.616166
-290.861743,3.341756
-296.728375,2.067346
-304.125434,2.067346
-309.992066,2.831992
-315.603627,3.596638
-322.490544,4.616166
-329.377460,6.655223
-334.478879,8.949162
-341.365796,9.713808
-347.997641,9.458926
-354.119344,10.223572
-359.730906,9.458926
-366.362751,8.184515
-372.994596,7.674751
-379.116299,6.145459
-385.493074,4.106402
-392.379990,2.067346
-398.756764,2.577110
-403.603113,2.322228
-410.745100,2.322228
-417.632016,4.871048
-422.988507,7.419869
-428.855139,8.184515
-435.742055,9.204044
-442.628972,10.478454
-448.495604,10.478454
-454.617307,9.458926
-461.504224,8.949162
-467.115785,8.439397
-472.982417,5.125930
-479.614263,3.851520
-486.501179,3.341756
-492.367811,2.322228
-497.979373,1.812463
-505.631502,2.577110
-511.243063,4.361284
-517.109696,6.145459
-523.996612,7.419869
-530.883528,9.204044
-536.240019,9.968690
-542.361722,10.223572
-548.993567,10.223572
-555.625412,9.458926
-561.236974,7.929633
-568.123890,6.145459
-575.265877,5.380813
-580.877439,4.106402
-586.744071,1.557581
-593.375916,2.322228
-600.007762,3.341756
-605.619323,4.106402
-612.506239,5.380813
-619.393156,7.164987
-625.259788,9.204044
-631.126420,9.204044
-638.268407,10.478454
-644.390111,10.478454
-650.511814,9.713808
-657.143659,7.929633
-663.775505,6.400341
-669.642137,5.635695
-675.763840,2.577110
-682.905828,1.812463
-689.282602,2.322228
-695.149234,2.322228
-701.781080,3.086874
-708.923067,5.380813
-704.586860,5.890577
-696.169518,3.341756
-689.282602,2.577110
-681.630473,2.577110
-673.468202,2.322228
-667.091427,3.596638
-660.459582,6.400341
-652.552382,7.929633
-644.645182,8.694279
-638.013336,9.968690
-631.126420,10.733336
-623.219220,9.458926
-616.332304,7.419869
-609.955530,6.400341
-602.303400,4.871048
-594.651271,2.322228
-588.274497,2.067346
-581.642652,3.086874
-573.480380,3.086874
-567.103606,4.616166
-560.981903,6.910105
-553.074703,8.694279
-545.677644,9.713808
-539.300870,10.223572
-532.924096,10.988218
-525.271967,9.204044
-518.895192,7.929633
-512.263347,5.890577
-504.866289,4.871048
-497.724302,2.067346
-491.347527,1.812463
-484.715682,2.831992
-477.063553,3.341756
-470.941850,4.361284
-465.075217,6.910105
-457.423088,8.949162
-450.281101,8.949162
-444.159397,10.478454
-437.782623,10.478454
-430.130494,9.458926
-424.008791,7.164987
-417.887087,6.400341
-410.745100,5.125930
-403.858184,3.341756
-397.481410,1.812463
-390.594493,2.322228
-383.452506,3.596638
-377.330803,4.106402
-371.464170,5.890577
-363.812041,8.949162
-357.435267,9.458926
-351.568634,9.458926
-344.426647,10.223572
-337.284660,10.478454
-331.162957,8.694279
-325.296324,7.419869
-318.154337,6.145459
-311.777563,3.851520
-305.145717,1.812463
-298.768943,2.067346
-291.371885,3.086874
-285.760324,2.831992
-280.148762,5.380813
-272.751704,7.419869
-266.374930,8.439397
-260.763368,9.204044
-253.366310,10.223572
-246.224323,11.243100
-240.357690,9.458926
-234.491058,8.439397
-226.838929,7.929633
-220.462155,5.635695
-214.340451,3.086874
-208.728890,3.086874
-201.841974,2.322228
-194.955057,2.067346
-189.343496,3.851520
-182.456580,5.635695
-175.824734,7.164987
-169.958102,8.439397
-164.091470,9.458926
-157.204553,10.478454
-150.572708,10.733336
-144.961147,9.458926
-138.074231,9.713808
-131.442385,7.419869
-126.085895,5.380813
-118.943908,4.106402
-112.056991,3.086874
-106.445430,2.322228
-100.833869,1.812463
-93.946952,4.106402
-87.060036,4.616166
-81.193404,6.400341
-75.326771,8.694279
-68.439855,10.478454
-61.808010,10.223572
-55.941377,10.733336
-49.564603,10.733336
-42.677687,9.204044
-37.066125,6.910105
-30.944422,6.145459
-24.057506,4.616166
-17.935803,2.322228
-12.579312,2.322228
-5.692396,2.831992
0.939449,3.086874
6.806082,4.106402
12.417643,6.655223
19.814701,8.184515
25.681334,8.949162
31.292895,9.713808
38.179811,10.733336
45.066728,10.223572
50.678289,9.204044
57.055063,8.439397
63.686909,7.419869
69.553541,5.125930
75.165102,2.831992
82.052019,3.086874
88.938935,2.322228
94.295425,1.812463
100.672200,3.596638
107.559116,6.400341
113.170677,7.419869
118.782239,8.694279
125.669155,10.478454
132.556071,10.478454
138.167633,10.223572
144.289336,9.968690
