0_Internal Flux,0_Voltage
-148.532140,6.400341
-141.390153,6.910105
-134.503237,6.400341
-128.636605,3.341756
-123.025043,2.577110
-116.138127,1.302699
-109.251211,-0.226593
-103.384578,-1.246121
-97.773017,-0.226593
-90.886101,-0.481475
-84.254255,0.283171
-78.642694,2.322228
-71.755778,4.361284
-65.123932,5.380813
-59.257300,6.145459
-53.390668,7.674751
-46.758822,6.655223
-40.382048,5.380813
-34.770487,4.361284
-28.138641,3.341756
-20.996654,1.302699
-15.895235,-0.481475
-9.008319,-0.736357
-2.121402,0.028289
4.000301,-0.991239
9.356792,0.792935
15.988637,2.577110
22.875553,3.851520
28.742185,4.361284
34.608818,6.655223
41.750805,7.674751
47.362366,7.419869
52.973928,6.145459
60.115915,5.890577
66.747760,3.596638
72.614393,1.557581
77.970883,0.538053
84.857799,0.283171
91.744716,-1.755886
96.846135,-0.991239
103.477980,0.028289
110.619968,1.812463
116.231529,2.322228
121.588019,4.871048
128.474936,6.400341
135.361852,6.655223
140.463271,6.910105
147.350188,6.400341
154.237104,6.145459
159.593594,4.616166
165.715298,2.577110
172.602214,1.557581
179.234059,-0.481475
184.845621,-1.755886
190.712253,-0.736357
197.344098,0.538053
203.975943,0.283171
209.077363,2.067346
215.964279,4.361284
222.851195,5.380813
228.717828,6.145459
234.074318,7.419869
240.706164,6.910105
247.593080,5.890577
253.204641,4.871048
259.326344,4.106402
266.213261,1.812463
271.824822,-0.481475
277.691455,-0.481475
284.578371,-0.991239
290.955145,-0.991239
296.566706,0.283171
302.688410,2.067346
309.575326,3.341756
315.186887,4.361284
321.053520,6.400341
327.430294,6.655223
334.572281,6.655223
339.418630,6.400341
346.050475,5.635695
352.682320,4.616166
358.548953,2.322228
364.415585,0.792935
370.792359,0.538053
377.424205,-0.736357
383.035766,-0.736357
388.392257,0.028289
395.279173,0.538053
401.400876,1.812463
406.757367,3.596638
413.644283,5.890577
420.531199,6.400341
425.632619,6.910105
432.009393,6.910105
438.896309,6.910105
444.252799,5.890577
449.864361,3.341756
456.496206,2.831992
463.128051,0.792935
468.739613,-0.991239
474.861316,-0.991239
481.493161,-0.226593
486.849652,-0.226593
492.461213,0.538053
499.093059,2.322228
505.979975,4.361284
511.336465,5.125930
517.203098,6.910105
524.600156,8.184515
530.211717,6.910105
535.823279,6.145459
541.434840,5.890577
548.066685,3.341756
554.188389,1.557581
559.544879,0.283171
566.431795,0.028289
572.808570,-1.246121
578.675202,-1.755886
584.031692,0.792935
590.663538,1.047817
596.785241,1.812463
601.886660,4.361284
608.773577,6.400341
615.660493,6.655223
621.272054,6.655223
626.883616,7.674751
633.260390,6.400341
639.382093,4.361284
644.993655,3.341756
651.625500,2.322228
658.257345,0.028289
663.868907,-0.991239
669.480468,-0.226593
675.857242,-0.736357
681.978946,0.283171
687.590507,1.302699
694.222352,3.341756
700.854198,4.616166
706.720830,4.871048
712.332392,7.419869
718.709166,7.674751
724.830869,6.400341
730.187360,6.400341
736.819205,5.380813
743.451050,3.086874
749.317683,0.538053
754.929244,0.283171
761.306018,-0.991239
767.937864,-1.246121
773.039283,-0.481475
779.416057,0.792935
786.047903,2.067346
791.659464,3.341756
797.015954,5.125930
803.647800,6.400341
810.279645,5.890577
815.125993,7.419869
821.757839,7.674751
828.134613,5.890577
833.746174,3.851520
838.847594,2.577110
845.479439,1.047817
845.224368,-0.226593
836.296884,1.812463
828.899826,4.361284
